BFY,FundCode,FundName,OrgCode,OrgName,AccountCode,ProgramProjectCode,ProgramProjectName,BocCode,BocName,Authority,OpenCommitments,Obligations,Used,Available,ULO,ProgramArea
2020,B,EPM,06,REGION 6,000A46,46,CLIMATE PROTECTION PROGRAM,41,GRANTS,17500,0,17500,17500,0,17500,CLEAN AIR AND CLIMATE
2020,B,EPM,06,REGION 6,000A59,59,FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT,21,TRAVEL,44986.01,0,44986.01,44986.01,0,0,CLEAN AIR AND CLIMATE
2020,B,EPM,06,REGION 6,000F59,59,FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT,21,TRAVEL,10925.56,0,10925.56,10925.56,0,0,CLEAN AIR AND CLIMATE
2020,B,EPM,06,REGION 6,000E50,50,COMPLIANCE MONITORING,21,TRAVEL,59989.04,0,59989.04,59989.04,0,0,COMPLIANCE
2020,B,EPM,06,REGION 6,000E50,50,COMPLIANCE MONITORING,41,GRANTS,47000,0,47000,47000,0,47000,COMPLIANCE
2020,B,EPM,06,REGION 6,000F50,50,COMPLIANCE MONITORING,38,WCF,15000,0,15000,15000,0,0,COMPLIANCE
2020,B,EPM,06,REGION 6,000E44,44,CIVIL ENFORCEMENT,21,TRAVEL,77375.28,0,77375.28,77375.28,0,0,ENFORCEMENT
2020,B,EPM,06,REGION 6,000F44,44,CIVIL ENFORCEMENT,38,WCF,7000,0,7000,7000,0,668.89,ENFORCEMENT
2020,B,EPM,06,REGION 6,000M57,57,ENVIRONMENTAL JUSTICE,38,WCF,2000,0,2000,2000,0,0,ENFORCEMENT
2020,B,EPM,06,REGION 6,000M57,57,ENVIRONMENTAL JUSTICE,41,GRANTS,640000,0,640000,640000,0,640000,ENFORCEMENT
2020,B,EPM,06,REGION 6,000M90,90,NEPA IMPLEMENTATION,21,TRAVEL,2513.24,0,2513.24,2513.24,0,0,ENFORCEMENT
2020,B,EPM,06,REGION 6,000DC3,C3,STATE AND LOCAL PREVENTION AND PREPAREDNESS,21,TRAVEL,5744,0,5744,5744,0,5744,INFORMATION EXCHANGE / OUTREACH
2020,B,EPM,06,REGION 6,000DC3,C3,STATE AND LOCAL PREVENTION AND PREPAREDNESS,37,CONTRACTS,99729.86,0,99729.86,99729.86,0,99729.86,INFORMATION EXCHANGE / OUTREACH
2020,B,EPM,06,REGION 6,000CD8,D8,TRI / RIGHT TO KNOW,21,TRAVEL,1100,0,1100,1100,0,1100,INFORMATION EXCHANGE / OUTREACH
2020,B,EPM,06,REGION 6,000LD9,D9,TRIBAL - CAPACITY BUILDING,21,TRAVEL,3572.26,0,3572.26,3572.26,0,0,INFORMATION EXCHANGE / OUTREACH
2020,B,EPM,06,REGION 6,000ME8,E8,"CONGRESSIONAL, INTERGOVERNMENTAL, EXTERNAL RELATIONS",21,TRAVEL,21262.87,0,21262.87,21262.87,0,0,INFORMATION EXCHANGE / OUTREACH
2020,B,EPM,06,REGION 6,000ME9,E9,ENVIRONMENTAL EDUCATION,41,GRANTS,290408,0,290408,290408,0,289823.08,INFORMATION EXCHANGE / OUTREACH
2020,B,EPM,06,REGION 6,000MH3,H3,CHILDREN & OTHER SENSITIVE POPULATIONS: AGENCY COORDINATION,41,GRANTS,43000,0,43000,43000,0,43000,INFORMATION EXCHANGE / OUTREACH
2020,B,EPM,06,REGION 6,000LE1,E1,US MEXICO BORDER,21,TRAVEL,4681.07,0,4681.07,4681.07,0,0,INTERNATIONAL PROGRAMS
2020,B,EPM,06,REGION 6,000LE1,E1,US MEXICO BORDER,41,GRANTS,294000,0,294000,294000,0,294000,INTERNATIONAL PROGRAMS
2020,B,EPM,06,REGION 6,000YF8,F8,IT / DATA MANAGEMENT,21,TRAVEL,1847.1,0,1847.1,1847.1,0,0,IT / DATA MANAGEMENT / SECURITY
2020,B,EPM,06,REGION 6,000YF8,F8,IT / DATA MANAGEMENT,41,GRANTS,71000,0,71000,71000,0,64275.69,IT / DATA MANAGEMENT / SECURITY
2020,B,EPM,06,REGION 6,000NG1,G1,LEGAL ADVICE: SUPPORT PROGRAM,21,TRAVEL,1645.11,0,1645.11,1645.11,0,0,LEGAL / SCIENCE / REGULATORY / ECONOMIC REVIEW
2020,B,EPM,06,REGION 6,000D86,86,LUST / UST,21,TRAVEL,1000,0,1000,1000,0,1000,UNDERGROUND STORAGE TANKS (LUST / UST)
2020,B,EPM,06,REGION 6,000D86,86,LUST / UST,38,WCF,3000,0,3000,3000,0,0,UNDERGROUND STORAGE TANKS (LUST / UST)
2020,B,EPM,06,REGION 6,000YF2,F2,FACILITIES INFRASTRUCTURE AND OPERATIONS,21,TRAVEL,21238.32,0,21238.32,21238.32,0,0,OPERATIONS AND ADMINISTRATION
2020,B,EPM,06,REGION 6,000YF5,F5,HUMAN RESOURCES MANAGEMENT,38,WCF,3000,0,3000,3000,0,0,OPERATIONS AND ADMINISTRATION
2020,B,EPM,06,REGION 6,000CJ1,J1,PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK,21,TRAVEL,1435.23,0,1435.23,1435.23,0,0,PESTICIDES LICENSING
2020,B,EPM,06,REGION 6,000CJ2,J2,PESTICIDES: PROTECT THE ENVIRONMENT FROM PESTICIDE RISK,36,EXPENSES,700,0,700,700,0,0,PESTICIDES LICENSING
2020,B,EPM,06,REGION 6,000CJ3,J3,PESTICIDES: REALIZE THE VALUE OF PESTICIDE AVAILABILITY,21,TRAVEL,6943.77,0,6943.77,6943.77,0,1733.58,PESTICIDES LICENSING
2020,B,EPM,06,REGION 6,000CJ3,J3,PESTICIDES: REALIZE THE VALUE OF PESTICIDE AVAILABILITY,41,GRANTS,64844,0,64844,64844,0,64844,PESTICIDES LICENSING
2020,B,EPM,06,REGION 6,000D99,99,RCRA:  CORRECTIVE ACTION,21,TRAVEL,8058.35,0,8058.35,8058.35,0,0,RESOURCE CONSERVATION AND RECOVERY ACT (RCRA)
2020,B,EPM,06,REGION 6,000D99,99,RCRA:  CORRECTIVE ACTION,41,GRANTS,66000,0,66000,66000,0,66000,RESOURCE CONSERVATION AND RECOVERY ACT (RCRA)
2020,B,EPM,06,REGION 6,000DA1,A1,RCRA:  WASTE MANAGEMENT,21,TRAVEL,20016.15,0,20016.15,20016.15,0,0,RESOURCE CONSERVATION AND RECOVERY ACT (RCRA)
2020,B,EPM,06,REGION 6,000DA1,A1,RCRA:  WASTE MANAGEMENT,37,CONTRACTS,176000,0,176000,176000,0,174035,RESOURCE CONSERVATION AND RECOVERY ACT (RCRA)
2020,B,EPM,06,REGION 6,000DA2,A2,RCRA:  WASTE MINIMIZATION & RECYCLING,21,TRAVEL,1976.4,0,1976.4,1976.4,0,1100,RESOURCE CONSERVATION AND RECOVERY ACT (RCRA)
2020,B,EPM,06,REGION 6,000DA2,A2,RCRA:  WASTE MINIMIZATION & RECYCLING,41,GRANTS,30000,0,30000,30000,0,30000,RESOURCE CONSERVATION AND RECOVERY ACT (RCRA)
2020,B,EPM,06,REGION 6,000C95,95,POLLUTION PREVENTION PROGRAM,38,WCF,12000,0,12000,12000,0,2542.45,TOXICS RISK REVIEW AND PREVENTION
2020,B,EPM,06,REGION 6,000C95,95,POLLUTION PREVENTION PROGRAM,41,GRANTS,59000,0,59000,59000,0,59000,TOXICS RISK REVIEW AND PREVENTION
2020,B,EPM,06,REGION 6,000CD7,D7,TOXIC SUBSTANCES:  LEAD RISK REDUCTION PROGRAM,21,TRAVEL,507.44,0,507.44,507.44,0,0,TOXICS RISK REVIEW AND PREVENTION
2020,B,EPM,06,REGION 6,000B89,89,NATIONAL ESTUARY PROGRAM / COASTAL WATERWAYS,21,TRAVEL,8981.44,0,8981.44,8981.44,0,8600,WATER:  ECOSYSTEMS
2020,B,EPM,06,REGION 6,000B89,89,NATIONAL ESTUARY PROGRAM / COASTAL WATERWAYS,41,GRANTS,1987500,0,1987500,1987500,0,1987500,WATER:  ECOSYSTEMS
2020,B,EPM,06,REGION 6,000F89,89,NATIONAL ESTUARY PROGRAM / COASTAL WATERWAYS,38,WCF,5000,0,5000,5000,0,0.01,WATER:  ECOSYSTEMS
2020,B,EPM,06,REGION 6,000BE2,E2,WETLANDS,21,TRAVEL,5054.18,0,5054.18,5054.18,0,0,WATER:  ECOSYSTEMS
2020,B,EPM,06,REGION 6,000B53,53,DRINKING WATER PROGRAMS,21,TRAVEL,42990.94,0,42990.94,42990.94,0,0,WATER: HUMAN HEALTH PROTECTION
2020,B,EPM,06,REGION 6,000B53,53,DRINKING WATER PROGRAMS,41,GRANTS,95000,0,95000,95000,0,95000,WATER: HUMAN HEALTH PROTECTION
2020,B,EPM,06,REGION 6,000F53,53,DRINKING WATER PROGRAMS,37,CONTRACTS,13900,0,13900,13900,0,13900,WATER: HUMAN HEALTH PROTECTION
2020,B,EPM,06,REGION 6,000F53,53,DRINKING WATER PROGRAMS,38,WCF,10000,0,10000,10000,0,0,WATER: HUMAN HEALTH PROTECTION
2020,B,EPM,06,REGION 6,000B88,88,MARINE POLLUTION,21,TRAVEL,5807,0,5807,5807,0,5200,WATER QUALITY PROTECTION
2020,B,EPM,06,REGION 6,000B88,88,MARINE POLLUTION,37,CONTRACTS,40000,0,40000,40000,0,40000,WATER QUALITY PROTECTION
2020,B,EPM,06,REGION 6,000B88,88,MARINE POLLUTION,38,WCF,12000,0,12000,12000,0,2542.45,WATER QUALITY PROTECTION
2020,B,EPM,06,REGION 6,000B88,88,MARINE POLLUTION,41,GRANTS,30000,0,30000,30000,0,28753.94,WATER QUALITY PROTECTION
2020,B,EPM,06,REGION 6,000BD4,D4,SURFACE WATER PROTECTION,21,TRAVEL,67710.43,0,67710.43,67710.43,0,1433.89,WATER QUALITY PROTECTION
2020,B,EPM,06,REGION 6,000BD4,D4,SURFACE WATER PROTECTION,41,GRANTS,455800,0,455800,455800,0,389001.74,WATER QUALITY PROTECTION
2020,B,EPM,06,REGION 6,000FD4,D4,SURFACE WATER PROTECTION,37,CONTRACTS,36000,0,36000,36000,0,36000,WATER QUALITY PROTECTION
2020,B,EPM,06,REGION 6,000FD4,D4,SURFACE WATER PROTECTION,38,WCF,15000,0,15000,15000,0,0,WATER QUALITY PROTECTION
2020,E1,CATEGORICAL GRANTS,06,REGION 6,000B01,01,CATEGORICAL GRANT:  NONPOINT SOURCE (SEC. 319),41,GRANTS,20262355,0,20232355,20232355,30000,17383824.42,CATEGORICAL GRANTS
2020,E1,CATEGORICAL GRANTS,06,REGION 6,000A04,04,CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,41,GRANTS,16586396,0,15818146.75,15818146.75,768249.25,10489756.01,CATEGORICAL GRANTS
2020,E1,CATEGORICAL GRANTS,06,REGION 6,000B06,06,CATEGORICAL GRANT:  POLLUTION CONTROL (SEC. 106),41,GRANTS,23683000,0,23682569,23682569,431,5986223.75,CATEGORICAL GRANTS
2020,E1,CATEGORICAL GRANTS,06,REGION 6,000B08,08,CATEGORICAL GRANT:  UNDERGROUND INJECTION CONTROL  (UIC),41,GRANTS,2204000,0,2196228.56,2196228.56,7771.44,726575.81,CATEGORICAL GRANTS
2020,E1,CATEGORICAL GRANTS,06,REGION 6,000D11,11,CATEGORICAL GRANT:  HAZARDOUS WASTE FINANCIAL ASSISTANCE,41,GRANTS,11853000,0,11852901.94,11852901.94,98.06,6639820.34,CATEGORICAL GRANTS
2020,F,LUST,06,REGION 6,000E44,44,CIVIL ENFORCEMENT,38,WCF,8214.81,0,1000,1000,7214.81,521.99,ENFORCEMENT
2020,H,OIL SPILL,06,REGION 6,000E44,44,CIVIL ENFORCEMENT,38,WCF,6000,0,5000,5000,1000,651.3,ENFORCEMENT
2020,T,SUPERFUND,06,REGION 6,000JC7,C7,SUPERFUND:  ENFORCEMENT,38,WCF,22388.27,0,15000,15000,7388.27,174.87,ENFORCEMENT
2020,T,SUPERFUND,06,REGION 6,000D72,72,"HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY",38,WCF,49851.17,0,2000,2000,47851.17,211,HOMELAND SECURITY
2020,T,SUPERFUND,06,REGION 6,000YF8,F8,IT / DATA MANAGEMENT,41,GRANTS,196000,0,40875,40875,155125,37369.39,IT / DATA MANAGEMENT / SECURITY
2020,F,LUST,06,REGION 6,000D86,86,LUST / UST,38,WCF,7191.78,0,7000,7000,191.78,2894.94,UNDERGROUND STORAGE TANKS (LUST / UST)
